stop_name,time,headway
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,925,13
Blue Hill Ave @ Angell St,929,15
Blue Hill Ave @ Morton St,934,16
Blue Hill Ave @ Wellington Hill St,935,16
Mattapan Station - South Busway,943,15
Malcolm X Blvd @ King St,918,-8
Dudley Station,923,-5
Warren St @ Dabney Pl,925,-8
Warren St @ Townsend St,930,-12
Warren St @ Crawford St,934,-13
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,937,-10
Blue Hill Ave @ Angell St,941,-12
Blue Hill Ave @ Morton St,946,-14
Blue Hill Ave @ Wellington Hill St,947,-13
Mattapan Station - South Busway,955,-8
Malcolm X Blvd @ King St,929,-1
Dudley Station,933,-3
Warren St @ Dabney Pl,936,-2
Warren St @ Townsend St,942,-4
Warren St @ Crawford St,946,-4
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,949,-8
Blue Hill Ave @ Angell St,953,-7
Blue Hill Ave @ Morton St,958,-9
Blue Hill Ave @ Wellington Hill St,959,-12
Mattapan Station - South Busway,965,-11
Ruggles Station - Lane 1,937,-7
Malcolm X Blvd @ King St,941,1
Dudley Station,945,0
Warren St @ Dabney Pl,948,2
Warren St @ Townsend St,954,8
Warren St @ Crawford St,958,10
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,962,14
Blue Hill Ave @ Angell St,965,15
Blue Hill Ave @ Morton St,972,13
Blue Hill Ave @ Wellington Hill St,974,15
Mattapan Station - South Busway,980,15
Ruggles Station - Lane 1,948,12
Malcolm X Blvd @ King St,952,6
Dudley Station,956,6
Warren St @ Dabney Pl,959,4
Warren St @ Townsend St,963,2
Warren St @ Crawford St,966,1
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,971,-3
Blue Hill Ave @ Angell St,974,-5
Blue Hill Ave @ Morton St,981,-3
Blue Hill Ave @ Wellington Hill St,983,-4
Mattapan Station - South Busway,989,-6
Ruggles Station - Lane 1,959,-15
Malcolm X Blvd @ King St,962,-7
Dudley Station,967,-5
Warren St @ Dabney Pl,969,-3
Warren St @ Townsend St,973,-2
Warren St @ Crawford St,976,-2
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,981,-3
Blue Hill Ave @ Angell St,984,-1
Blue Hill Ave @ Morton St,991,0
Blue Hill Ave @ Wellington Hill St,993,0
Mattapan Station - South Busway,999,-1
Ruggles Station - Lane 1,970,6
Malcolm X Blvd @ King St,973,3
Dudley Station,978,2
Warren St @ Dabney Pl,980,1
Warren St @ Townsend St,984,2
Warren St @ Crawford St,987,2
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,992,2
Blue Hill Ave @ Angell St,995,2
Blue Hill Ave @ Morton St,1002,2
Blue Hill Ave @ Wellington Hill St,1004,2
Mattapan Station - South Busway,1010,3
Ruggles Station - Lane 1,981,-1
Malcolm X Blvd @ King St,984,-6
Dudley Station,989,-6
Warren St @ Dabney Pl,991,-6
Warren St @ Townsend St,995,-7
Warren St @ Crawford St,998,-8
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1003,-9
Blue Hill Ave @ Angell St,1006,-10
Blue Hill Ave @ Morton St,1013,-11
Blue Hill Ave @ Wellington Hill St,1015,-11
Mattapan Station - South Busway,1021,-9
Ruggles Station - Lane 1,992,-1
Malcolm X Blvd @ King St,995,0
Dudley Station,1000,0
Warren St @ Dabney Pl,1002,2
Warren St @ Townsend St,1006,1
Warren St @ Crawford St,1009,2
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1014,2
Blue Hill Ave @ Angell St,1017,2
Blue Hill Ave @ Morton St,1024,2
Blue Hill Ave @ Wellington Hill St,1026,2
Mattapan Station - South Busway,1032,0
Ruggles Station - Lane 1,1003,-11
Malcolm X Blvd @ King St,1006,1
Dudley Station,1011,3
Warren St @ Dabney Pl,1013,2
Warren St @ Townsend St,1017,3
Warren St @ Crawford St,1020,4
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1025,4
Blue Hill Ave @ Angell St,1028,4
Blue Hill Ave @ Morton St,1035,4
Blue Hill Ave @ Wellington Hill St,1037,3
Mattapan Station - South Busway,1043,3
Ruggles Station - Lane 1,1014,9
Malcolm X Blvd @ King St,1017,1
Dudley Station,1022,-2
Warren St @ Dabney Pl,1024,-3
Warren St @ Townsend St,1028,-3
Warren St @ Crawford St,1031,-4
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1036,-2
Blue Hill Ave @ Angell St,1039,-2
Blue Hill Ave @ Morton St,1046,-3
Blue Hill Ave @ Wellington Hill St,1048,-3
Mattapan Station - South Busway,1054,-4
Ruggles Station - Lane 1,1025,-1
Malcolm X Blvd @ King St,1028,0
Dudley Station,1033,0
Warren St @ Dabney Pl,1035,-1
Warren St @ Townsend St,1039,-2
Warren St @ Crawford St,1042,-2
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1047,-3
Blue Hill Ave @ Angell St,1050,-3
Blue Hill Ave @ Morton St,1057,-2
Blue Hill Ave @ Wellington Hill St,1059,-2
Mattapan Station - South Busway,1065,7
Ruggles Station - Lane 1,1036,1
Malcolm X Blvd @ King St,1039,1
Dudley Station,1044,2
Warren St @ Dabney Pl,1046,4
Warren St @ Townsend St,1050,4
Warren St @ Crawford St,1053,5
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1058,6
Blue Hill Ave @ Angell St,1061,6
Blue Hill Ave @ Morton St,1068,4
Blue Hill Ave @ Wellington Hill St,1070,5
Mattapan Station - South Busway,1076,-5
Ruggles Station - Lane 1,1047,-1
Malcolm X Blvd @ King St,1050,0
Dudley Station,1055,0
Warren St @ Dabney Pl,1057,-2
